listing_id,name,street,city,state,state_name,zip,lat,lng,phone,website,facebook,instagram,twitter,youtube,pinterest,season,products,description,updated,accepts_snap,accepts_ebt,organic_certified,organic_practices,csa_vendor_present,indoor_market,online_order_available,delivery_available,payment_cash,payment_credit_debit,live_enriched
"300002","Colorado Farm and Art Market","7350 Pine Creek Road","Colorado Springs","CO","Colorado","80919","38.937716","-104.81468","719-640-6154","www.farmandartmarket.com","https://www.facebook.com/farmandartmarket",,"https://twitter.com/cofarmartmarket",,,"June to October","Fresh fruits; Fresh vegetables; Baked goods; Bedding plants; Canned or preserved fruits/vegetables; Coffee/tea; Crafts/woodworking items; Cut flowers; Dairy products.; Dry beans; Eggs; Fish/seafood; Fresh/dried herbs; Honey; Juices/non-alcoholic ciders; Pet food; Poultry/fowl meat and products; Prepared foods; Red/other non-poultry meat and products; Soap/body care products; Wine, spirits, beer, hard cider",,"Aug 3rd, 2020","true","true","true","false","false","false","false","false","false","true","true"
"300003","Market in The Park","300 Conti","Mobile","AL","Alabama","36602","30.69035","-88.045015","251-208-1553","https://www.cityofmobile.gov/calendar-of-events/","MarketsinMobile",,,,,"April to July","Fresh fruits; Fresh vegetables; Baked goods; Bedding plants; Canned or preserved fruits/vegetables; Coffee/tea; Cut flowers; Eggs; Fish/seafood; Honey; Nursery stock; Prepared foods; Soap/body care products; Wild harvested forest products",,"Aug 3rd, 2020","false","false","true","false","false","false","false","false","false","true","true"
"300004","The Territory Farmers' Market","2000 Territory Drive","Galena","IL","Illinois","61036","42.404443","-90.31353","815-777-2000",,"www.facebook.com/TheTerritoryFarmersMarket",,,,,"July","Fresh fruits; Fresh vegetables; Baked goods; Canned or preserved fruits/vegetables; Crafts/woodworking items; Eggs; Fresh/dried herbs; Honey; Mushrooms",,"Sep 10th, 2020","false","false","true","false","false","false","false","false","false","true","true"
"300005","City of Plymouth Farmers Market","15500 County Road 6","Plymouth","MN","Minnesota","55447","44.997274","-93.473419","763-509-5226","www.plymouthmn.gov",,,,,,"June to October","Fresh fruits; Fresh vegetables; Baked goods; Bedding plants; Canned or preserved fruits/vegetables; Cut flowers; Dairy products.; Fresh/dried herbs; Honey; Maple products; Nuts; Prepared foods; Soap/body care products",,"Jan 26th, 2021","false","false","true","false","false","false","false","false","false","true","true"
"300006","Durham Farmers' Market","501 Foster Street","Durham","NC","North Carolina","27701","36.000559","-78.901856","919-667-3099","www.durhamfarmersmarket.com","www.facebook.com/durhamfarmersmarketnc",,"www.twitter.com/DurhamFarmerMkt",,,"April to November","Fresh fruits; Fresh vegetables; Baked goods; Bedding plants; Canned or preserved fruits/vegetables; Coffee/tea; Crafts/woodworking items; Cut flowers; Dairy products.; Dry beans; Eggs; Fresh/dried herbs; Grains/flour; Honey; Mushrooms; Nursery stock; Poultry/fowl meat and products; Prepared foods; Red/other non-poultry meat and products; Soap/body care products; Wild harvested forest products; Wine, spirits, beer, hard cider",,"Sep 10th, 2020","true","true","true","false","false","false","false","false","false","true","true"
"300008","Webster's Joe Obbie Farmers' Market, Inc.","1028 Ridge Road","Webster","NY","New York","14580","43.212229","-77.452948","585-261-1533","http://www.websterfarmersmarket.org","https://www.facebook.com/pages/Websters-Joe-Obbie-Farmers-Market-Inc/271407932889827",,,,,"June to October","Fresh fruits; Fresh vegetables; Baked goods; Bedding plants; Canned or preserved fruits/vegetables; Crafts/woodworking items; Cut flowers; Eggs; Honey; Juices/non-alcoholic ciders; Maple products; Red/other non-poultry meat and products",,"Jan 5th, 2021","true","true","true","false","false","false","false","false","false","true","true"
"300009","Appleton Downtown Farm Market","100 College Avenue","Appleton","WI","Wisconsin","54911","44.26201","-88.40703","920-954-9112","www.appletondowntown.org","www.facebook.com/downtownappletonfarmmarket",,,,,"June to October","Fresh vegetables; Baked goods; Bedding plants; Canned or preserved fruits/vegetables; Crafts/woodworking items; Dairy products.; Eggs; Fish/seafood; Fresh/dried herbs; Grains/flour; Honey; Maple products; Mushrooms; Pet food; Poultry/fowl meat and products; Red/other non-poultry meat and products; Soap/body care products",,"Jan 25th, 2021","true","true","true","false","false","true","false","false","false","true","true"
"300010","Bastrop 1832 Farmers Market","1302 Chestnut Street","Bastrop","TX","Texas","78602","30.111777","-97.311627","512-237-0553","https://bastrop1832farmersmarket.com","https://www.facebook.com/pages/Bastrop-1832-Farmers-Market/118950738119102",,"https://twitter.com/bastrop1832",,,"Year-round Available Products: Fresh fruits","Fresh fruits; Fresh vegetables; Baked goods; Bedding plants; Canned or preserved fruits/vegetables; Coffee/tea; Crafts/woodworking items; Eggs; Fresh/dried herbs; Honey; Juices/non-alcoholic ciders; Nursery stock; Nuts; Pet food; Poultry/fowl meat and products; Prepared foods; Red/other non-poultry meat and products; Soap/body care products",,"Jan 27th, 2021","true","true","true","false","false","true","false","false","false","true","true"
"300013","Alexandria Bay Farmers Market","Route 12","Alexandria Bay","NY","New York","13607","44.331171","-75.916118","315-482-9531","www.visitalexbay.org","https://www.facebook.com/pages/Alexandria-Bay-Chamber-of-Commerce/82504121853",,,,,"May to September","Fresh fruits; Fresh vegetables; Baked goods; Bedding plants; Canned or preserved fruits/vegetables; Crafts/woodworking items; Eggs; Honey; Maple products",,"Feb 1st, 2021","true","true","true","false","false","false","false","false","false","true","true"
"300016","Clarence Hollow Farmers' Market","10717 Main St.","Clarence","NY","New York","14031","42.98032","-78.58945","716-759-1075","www.clarencefarmersmarket.com","https://www.facebook.com/clarencehollowfm",,,,,"June to October","Fresh fruits; Fresh vegetables; Baked goods; Bedding plants; Canned or preserved fruits/vegetables; Coffee/tea; Crafts/woodworking items; Cut flowers; Dairy products.; Eggs; Fresh/dried herbs; Honey; Juices/non-alcoholic ciders; Maple products; Nursery stock; Pet food; Poultry/fowl meat and products; Prepared foods; Red/other non-poultry meat and products; Soap/body care products; Wine, spirits, beer, hard cider",,"Feb 2nd, 2021","false","false","true","false","false","false","false","false","false","true","true"
