state_name,state_abbr,farmers_markets,csa_programs,farm_stands,snap_ebt_markets,snap_ebt_pct,organic_vendor_markets,organic_pct,markets_with_website,website_pct
"California",CA,679,78,223,101,14.9,116,17.1,275,40.5
"New York",NY,587,144,272,42,7.2,46,7.8,299,50.9
"Illinois",IL,485,60,713,31,6.4,43,8.9,239,49.3
"Pennsylvania",PA,441,93,886,18,4.1,44,10,291,66
"Minnesota",MN,438,56,80,105,24,14,3.2,183,41.8
"Virginia",VA,398,78,180,22,5.5,28,7,231,58
"Wisconsin",WI,356,83,152,26,7.3,38,10.7,238,66.9
"Michigan",MI,336,96,253,38,11.3,42,12.5,152,45.2
"Ohio",OH,283,41,582,17,6,15,5.3,134,47.3
"Missouri",MO,275,27,105,12,4.4,16,5.8,187,68
"Colorado",CO,267,50,69,16,6,16,6,174,65.2
"Florida",FL,262,42,203,15,5.7,22,8.4,143,54.6
"Massachusetts",MA,249,67,79,33,13.3,34,13.7,229,92
"Georgia",GA,247,32,95,27,10.9,29,11.7,105,42.5
"Texas",TX,231,46,145,29,12.6,40,17.3,80,34.6
"North Carolina",NC,211,61,660,37,17.5,34,16.1,75,35.5
"Kentucky",KY,191,25,63,22,11.5,71,37.2,31,16.2
"Indiana",IN,190,37,147,24,12.6,47,24.7,62,32.6
"Iowa",IA,157,41,56,21,13.4,22,14,71,45.2
"Washington",WA,154,67,156,28,18.2,26,16.9,48,31.2
"Maryland",MD,151,59,54,7,4.6,14,9.3,87,57.6
"Connecticut",CT,138,38,167,11,8,10,7.2,68,49.3
"Kansas",KS,129,11,51,11,8.5,17,13.2,58,45
"Delaware",DE,122,5,14,4,3.3,5,4.1,111,91
"Alabama",AL,118,11,69,1,0.8,5,4.2,30,25.4
"Oklahoma",OK,109,10,23,10,9.2,4,3.7,42,38.5
"Arizona",AZ,103,16,20,4,3.9,7,6.8,41,39.8
"Oregon",OR,101,58,142,42,41.6,39,38.6,65,64.4
"Tennessee",TN,99,34,293,12,12.1,17,17.2,55,55.6
"South Carolina",SC,93,13,123,18,19.4,19,20.4,40,43
"New Jersey",NJ,87,42,109,19,21.8,24,27.6,37,42.5
"Montana",MT,80,10,468,6,7.5,6,7.5,12,15
"Vermont",VT,78,28,66,10,12.8,11,14.1,24,30.8
"Alaska",AK,69,6,8,3,4.3,4,5.8,49,71
"Arkansas",AR,67,7,65,9,13.4,20,29.9,24,35.8
"Louisiana",LA,64,4,108,11,17.2,12,18.8,34,53.1
"Wyoming",WY,61,5,11,1,1.6,3,4.9,17,27.9
"West Virginia",WV,59,4,333,6,10.2,5,8.5,22,37.3
"New Hampshire",NH,53,36,140,6,11.3,6,11.3,32,60.4
"Mississippi",MS,52,5,25,2,3.8,2,3.8,17,32.7
"Maine",ME,44,29,80,5,11.4,5,11.4,22,50
"Nebraska",NE,42,10,16,2,4.8,19,45.2,11,26.2
"New Mexico",NM,39,3,25,4,10.3,5,12.8,8,20.5
"Idaho",ID,38,16,175,7,18.4,8,21.1,29,76.3
"Rhode Island",RI,32,7,22,21,65.6,25,78.1,21,65.6
"Nevada",NV,31,2,14,5,16.1,5,16.1,11,35.5
"District Of Columbia",DC,28,0,0,5,17.9,5,17.9,10,35.7
"South Dakota",SD,18,10,16,1,5.6,1,5.6,4,22.2
"Utah",UT,16,12,40,5,31.3,2,12.5,12,75
"Hawaii",HI,13,11,5,5,38.5,6,46.2,8,61.5
"North Dakota",ND,7,6,9,2,28.6,4,57.1,2,28.6
"Puerto Rico",PR,2,0,1,0,0,2,100,1,50
"Virgin Islands",VI,0,0,1,0,0,0,0,0,0
